User|Group|JobID|ReqTRES|Timelimit|Submit|NodeList|Start|End|Elapsed|State|ExitCode
|4294967294|55425482.batch|||2024-04-04T20:37:52|della-l08g5|2024-04-04T20:37:52|2024-04-04T20:40:01|00:02:09|COMPLETED|0:0
|4294967294|55425482.extern|||2024-04-04T20:37:52|della-l08g5|2024-04-04T20:37:52|2024-04-04T20:40:01|00:02:09|COMPLETED|0:0
mg2332|cs|55425524|billing=1,cpu=1,gres/gpu=1,mem=16384M,node=1|00:31:00|2024-04-04T20:40:39|della-l08g5|2024-04-04T20:41:17|2024-04-04T20:43:24|00:02:07|COMPLETED|0:0
|4294967294|55425524.batch|||2024-04-04T20:41:17|della-l08g5|2024-04-04T20:41:17|2024-04-04T20:43:24|00:02:07|COMPLETED|0:0
|4294967294|55425524.extern|||2024-04-04T20:41:17|della-l08g5|2024-04-04T20:41:17|2024-04-04T20:43:24|00:02:07|COMPLETED|0:0
mg2332|cs|55425676|billing=1,cpu=1,gres/gpu=1,mem=16384M,node=1|00:31:00|2024-04-04T20:49:03|della-l08g5|2024-04-04T20:49:49|2024-04-04T20:51:58|00:02:09|COMPLETED|0:0
|4294967294|55425676.batch|||2024-04-04T20:49:49|della-l08g5|2024-04-04T20:49:49|2024-04-04T20:51:58|00:02:09|COMPLETED|0:0
|4294967294|55425676.extern|||2024-04-04T20:49:49|della-l08g5|2024-04-04T20:49:49|2024-04-04T20:51:58|00:02:09|COMPLETED|0:0
mg2332|cs|55425678|billing=1,cpu=1,gres/gpu=1,mem=16384M,node=1|00:31:00|2024-04-04T20:49:13|della-l08g5|2024-04-04T20:49:49|2024-04-04T20:52:47|00:02:58|COMPLETED|0:0
|4294967294|55425678.batch|||2024-04-04T20:49:49|della-l08g5|2024-04-04T20:49:49|2024-04-04T20:52:47|00:02:58|COMPLETED|0:0
|4294967294|55425678.extern|||2024-04-04T20:49:49|della-l08g5|2024-04-04T20:49:49|2024-04-04T20:52:47|00:02:58|COMPLETED|0:0
avaidya|ee|55434641|billing=2,cpu=1,gres/gpu=1,mem=32768M,node=1|01:00:00|2024-04-04T23:42:42|della-l08g5|2024-04-04T23:42:53|2024-04-05T00:47:57|01:05:04|TIMEOUT|0:0
|4294967294|55434641.batch|||2024-04-04T23:42:53|della-l08g5|2024-04-04T23:42:53|2024-04-05T00:47:58|01:05:05|CANCELLED|0:15
|4294967294|55434641.extern|||2024-04-04T23:42:53|della-l08g5|2024-04-04T23:42:53|2024-04-05T00:47:57|01:05:04|COMPLETED|0:0
lh9998|ee|55434913|billing=12,cpu=8,gres/gpu=1,mem=163840M,node=1|01:00:00|2024-04-04T23:59:16|della-l08g5|2024-04-05T00:55:07|2024-04-05T01:11:30|00:16:23|FAILED|1:0
|4294967294|55434913.batch|||2024-04-05T00:55:07|della-l08g5|2024-04-05T00:55:07|2024-04-05T01:11:30|00:16:23|FAILED|1:0
|4294967294|55434913.extern|||2024-04-05T00:55:07|della-l08g5|2024-04-05T00:55:07|2024-04-05T01:11:30|00:16:23|COMPLETED|0:0
xinyut|ee|55435878|billing=10,cpu=1,gres/gpu=1,mem=131072M,node=1|00:59:00|2024-04-05T00:18:06|della-l08g5|2024-04-05T00:21:54|2024-04-05T01:09:28|00:47:34|COMPLETED|0:0
|4294967294|55435878.interactive|||2024-04-05T00:21:54|della-l08g5|2024-04-05T00:21:54|2024-04-05T01:09:28|00:47:34|COMPLETED|0:0
|4294967294|55435878.extern|||2024-04-05T00:21:54|della-l08g5|2024-04-05T00:21:54|2024-04-05T01:09:28|00:47:34|COMPLETED|0:0
xinyut|ee|55436101|billing=10,cpu=1,gres/gpu=1,mem=131072M,node=1|00:59:00|2024-04-05T00:21:22|della-l08g5|2024-04-05T00:21:54|2024-04-05T01:09:32|00:47:38|COMPLETED|0:0
|4294967294|55436101.interactive|||2024-04-05T00:21:54|della-l08g5|2024-04-05T00:21:54|2024-04-05T01:09:32|00:47:38|COMPLETED|0:0
|4294967294|55436101.extern|||2024-04-05T00:21:54|della-l08g5|2024-04-05T00:21:54|2024-04-05T01:09:32|00:47:38|COMPLETED|0:0
jdezoort|physics|55436391_0|billing=2,cpu=1,gres/gpu=1,mem=32768M,node=1|00:59:00|2024-04-05T00:36:05|della-l08g5|2024-04-05T00:36:59|2024-04-05T01:01:08|00:24:09|FAILED|1:0
|4294967294|55436391_0.batch|||2024-04-05T00:36:59|della-l08g5|2024-04-05T00:36:59|2024-04-05T01:01:08|00:24:09|FAILED|1:0
|4294967294|55436391_0.extern|||2024-04-05T00:36:59|della-l08g5|2024-04-05T00:36:59|2024-04-05T01:01:08|00:24:09|COMPLETED|0:0
sulinl|ee|55437032|billing=5,cpu=1,gres/gpu=1,mem=65536M,node=1|00:59:00|2024-04-05T01:06:55|della-l08g5|2024-04-05T01:07:53|2024-04-05T02:12:16|01:04:23|TIMEOUT|0:0
|4294967294|55437032.interactive|||2024-04-05T01:07:53|della-l08g5|2024-04-05T01:07:53|2024-04-05T02:13:00|01:05:07|CANCELLED|0:9
|4294967294|55437032.extern|||2024-04-05T01:07:53|della-l08g5|2024-04-05T01:07:53|2024-04-05T02:12:16|01:04:23|COMPLETED|0:0
