|4294967294|55446746.extern|||2024-04-05T12:55:49|della-l08g5|2024-04-05T12:55:49|2024-04-05T12:59:36|00:03:47|COMPLETED|0:0
da9666|cbe|55447260|billing=1,cpu=1,gres/gpu=2,mem=4000M,node=1|00:10:00|2024-04-05T13:14:40|della-l08g5|2024-04-05T13:20:03|2024-04-05T13:23:42|00:03:39|COMPLETED|0:0
|4294967294|55447260.batch|||2024-04-05T13:20:03|della-l08g5|2024-04-05T13:20:03|2024-04-05T13:23:42|00:03:39|COMPLETED|0:0
|4294967294|55447260.extern|||2024-04-05T13:20:03|della-l08g5|2024-04-05T13:20:03|2024-04-05T13:23:42|00:03:39|COMPLETED|0:0
da9666|cbe|55447261|billing=1,cpu=1,gres/gpu=4,mem=4000M,node=1|00:10:00|2024-04-05T13:14:40|della-l08g5|2024-04-05T13:24:09|2024-04-05T13:29:56|00:05:47|COMPLETED|0:0
|4294967294|55447261.batch|||2024-04-05T13:24:09|della-l08g5|2024-04-05T13:24:09|2024-04-05T13:29:56|00:05:47|COMPLETED|0:0
|4294967294|55447261.extern|||2024-04-05T13:24:09|della-l08g5|2024-04-05T13:24:09|2024-04-05T13:29:56|00:05:47|COMPLETED|0:0
da9666|cbe|55447276|billing=1,cpu=1,gres/gpu=4,mem=4000M,node=1|00:10:00|2024-04-05T13:15:28|della-l08g5|2024-04-05T13:38:39|2024-04-05T13:44:26|00:05:47|COMPLETED|0:0
|4294967294|55447276.batch|||2024-04-05T13:38:39|della-l08g5|2024-04-05T13:38:39|2024-04-05T13:44:26|00:05:47|COMPLETED|0:0
|4294967294|55447276.extern|||2024-04-05T13:38:39|della-l08g5|2024-04-05T13:38:39|2024-04-05T13:44:26|00:05:47|COMPLETED|0:0
da9666|cbe|55447303|billing=1,cpu=1,gres/gpu=4,mem=4000M,node=1|00:10:00|2024-04-05T13:16:03|della-l08g5|2024-04-05T13:57:10|2024-04-05T14:05:31|00:08:21|COMPLETED|0:0
|4294967294|55447303.batch|||2024-04-05T13:57:10|della-l08g5|2024-04-05T13:57:10|2024-04-05T14:05:31|00:08:21|COMPLETED|0:0
|4294967294|55447303.extern|||2024-04-05T13:57:10|della-l08g5|2024-04-05T13:57:10|2024-04-05T14:05:31|00:08:21|COMPLETED|0:0
as9525|chem|55450886|billing=1,cpu=1,gres/gpu=4,mem=8192M,node=1|01:00:00|2024-04-05T14:17:59|della-l08g5|2024-04-05T14:18:13|2024-04-05T14:20:17|00:02:04|COMPLETED|0:0
|4294967294|55450886.batch|||2024-04-05T14:18:13|della-l08g5|2024-04-05T14:18:13|2024-04-05T14:20:17|00:02:04|COMPLETED|0:0
|4294967294|55450886.extern|||2024-04-05T14:18:13|della-l08g5|2024-04-05T14:18:13|2024-04-05T14:20:17|00:02:04|COMPLETED|0:0
|4294967294|55450886.0|||2024-04-05T14:18:13|della-l08g5|2024-04-05T14:18:13|2024-04-05T14:20:17|00:02:04|COMPLETED|0:0
xinyut|ee|55452143|billing=2,cpu=1,gres/gpu=1,mem=32768M,node=1|00:59:00|2024-04-05T14:32:49|della-l08g5|2024-04-05T14:34:13|2024-04-05T14:35:47|00:01:34|FAILED|1:0
|4294967294|55452143.batch|||2024-04-05T14:34:13|della-l08g5|2024-04-05T14:34:13|2024-04-05T14:35:47|00:01:34|FAILED|1:0
|4294967294|55452143.extern|||2024-04-05T14:34:13|della-l08g5|2024-04-05T14:34:13|2024-04-05T14:35:47|00:01:34|COMPLETED|0:0
|4294967294|55452143.0|||2024-04-05T14:34:15|della-l08g5|2024-04-05T14:34:15|2024-04-05T14:35:47|00:01:32|FAILED|1:0
mb5157|ee|55453321_2|billing=1,cpu=1,gres/gpu=1,mem=10240M,node=1|01:00:00|2024-04-05T15:00:55|della-l08g5|2024-04-05T15:02:13|2024-04-05T15:02:58|00:00:45|COMPLETED|0:0
|4294967294|55453321_2.batch|||2024-04-05T15:02:13|della-l08g5|2024-04-05T15:02:13|2024-04-05T15:02:58|00:00:45|COMPLETED|0:0
|4294967294|55453321_2.extern|||2024-04-05T15:02:13|della-l08g5|2024-04-05T15:02:13|2024-04-05T15:02:58|00:00:45|COMPLETED|0:0
mb5157|ee|55453321_3|billing=1,cpu=1,gres/gpu=1,mem=10240M,node=1|01:00:00|2024-04-05T15:00:55|della-l08g5|2024-04-05T15:02:13|2024-04-05T15:02:54|00:00:41|COMPLETED|0:0
|4294967294|55453321_3.batch|||2024-04-05T15:02:13|della-l08g5|2024-04-05T15:02:13|2024-04-05T15:02:54|00:00:41|COMPLETED|0:0
|4294967294|55453321_3.extern|||2024-04-05T15:02:13|della-l08g5|2024-04-05T15:02:13|2024-04-05T15:02:54|00:00:41|COMPLETED|0:0
rm3395|astro|55453799|billing=20,cpu=16,gres/gpu=16,mem=262144M,node=4|01:00:00|2024-04-05T15:15:41|della-l02g12,della-l08g[4-5],della-l09g5|2024-04-05T16:46:22|2024-04-05T17:51:30|01:05:08|TIMEOUT|0:0
|4294967294|55453799.extern|||2024-04-05T16:46:22|della-l02g12,della-l08g[4-5],della-l09g5|2024-04-05T16:46:22|2024-04-05T17:51:30|01:05:08|COMPLETED|0:0
|4294967294|55453799.0|||2024-04-05T16:46:23|della-l02g12,della-l08g[4-5],della-l09g5|2024-04-05T16:46:23|2024-04-05T17:51:35|01:05:12|CANCELLED|0:15
rm3395|astro|55453800|billing=20,cpu=16,gres/gpu=16,mem=262144M,node=4|01:00:00|2024-04-05T15:15:41|della-l02g12,della-l08g[4-5],della-l09g5|2024-04-05T17:57:19|2024-04-05T19:02:43|01:05:24|TIMEOUT|0:0
|4294967294|55453800.extern|||2024-04-05T17:57:19|della-l02g12,della-l08g[4-5],della-l09g5|2024-04-05T17:57:19|2024-04-05T19:02:43|01:05:24|COMPLETED|0:0
|4294967294|55453800.0|||2024-04-05T17:57:20|della-l02g12,della-l08g[4-5],della-l09g5|2024-04-05T17:57:20|2024-04-05T19:02:48|01:05:28|CANCELLED|0:15
ashwinee|ee|55459680|billing=61,cpu=16,gres/gpu=4,mem=786432M,node=1|01:00:00|2024-04-05T19:06:54|della-l08g5|2024-04-05T19:49:59|2024-04-05T19:50:07|00:00:08|FAILED|1:0
|4294967294|55459680.batch|||2024-04-05T19:49:59|della-l08g5|2024-04-05T19:49:59|2024-04-05T19:50:07|00:00:08|FAILED|1:0
|4294967294|55459680.extern|||2024-04-05T19:49:59|della-l08g5|2024-04-05T19:49:59|2024-04-05T19:50:07|00:00:08|COMPLETED|0:0
cabrooks|cs|55461082|billing=1,cpu=1,gres/gpu=1,mem=4000M,node=1|00:45:00|2024-04-05T19:32:16|della-l08g5|2024-04-05T19:32:27|2024-04-05T19:43:49|00:11:22|COMPLETED|0:0
|4294967294|55461082.interactive|||2024-04-05T19:32:27|della-l08g5|2024-04-05T19:32:27|2024-04-05T19:43:49|00:11:22|COMPLETED|0:0
|4294967294|55461082.extern|||2024-04-05T19:32:27|della-l08g5|2024-04-05T19:32:27|2024-04-05T19:43:49|00:11:22|COMPLETED|0:0
js2532|chem|55462258|billing=1,cpu=1,gres/gpu=1,mem=10240M,node=1|00:30:00|2024-04-05T19:54:27|della-l08g5|2024-04-05T19:55:05|2024-04-05T20:04:15|00:09:10|COMPLETED|0:0
|4294967294|55462258.batch|||2024-04-05T19:55:05|della-l08g5|2024-04-05T19:55:05|2024-04-05T20:04:15|00:09:10|COMPLETED|0:0
|4294967294|55462258.extern|||2024-04-05T19:55:05|della-l08g5|2024-04-05T19:55:05|2024-04-05T20:04:15|00:09:10|COMPLETED|0:0
|4294967294|55462258.0|||2024-04-05T19:55:14|della-l08g5|2024-04-05T19:55:14|2024-04-05T20:04:15|00:09:01|COMPLETED|0:0
tm7623|ee|55462301|billing=1,cpu=1,gres/gpu=1,mem=4096M,node=1|00:10:00|2024-04-05T19:58:55|della-l08g5|2024-04-05T19:59:03|2024-04-05T20:00:03|00:01:00|CANCELLED by 223932|0:0
|4294967294|55462301.batch|||2024-04-05T19:59:03|della-l08g5|2024-04-05T19:59:03|2024-04-05T20:00:05|00:01:02|CANCELLED|0:15
|4294967294|55462301.extern|||2024-04-05T19:59:03|della-l08g5|2024-04-05T19:59:03|2024-04-05T20:00:03|00:01:00|COMPLETED|0:0
tm7623|ee|55462318|billing=1,cpu=1,gres/gpu=1,mem=4096M,node=1|00:10:00|2024-04-05T20:00:27|della-l08g5|2024-04-05T20:00:29|2024-04-05T20:01:24|00:00:55|FAILED|1:0
|4294967294|55462318.batch|||2024-04-05T20:00:29|della-l08g5|2024-04-05T20:00:29|2024-04-05T20:01:24|00:00:55|FAILED|1:0
|4294967294|55462318.extern|||2024-04-05T20:00:29|della-l08g5|2024-04-05T20:00:29|2024-04-05T20:01:24|00:00:55|COMPLETED|0:0
tm7623|ee|55462335|billing=1,cpu=1,gres/gpu=1,mem=4096M,node=1|00:10:00|2024-04-05T20:03:01|della-l08g5|2024-04-05T20:03:12|2024-04-05T20:03:33|00:00:21|FAILED|1:0
